Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n200,7,0.0078,1.000000,123296.67,9284.028985,6650.732136,72679.418091,34682.487571
n201,7,0.0078,1.000000,135713.24,11814.797223,81124.427330,24061.526415,18712.487145
n202,7,0.0078,1.000000,120217.47,12528.258068,9828.225648,33758.350510,64102.639567
n203,7,0.0078,1.000000,132800.60,3575.431100,10096.899009,82439.058025,36689.213498
n204,7,0.0078,1.000000,115659.27,11245.466366,53806.324460,13890.668264,36716.807840
n205,7,0.0078,1.000000,126186.41,17194.231714,10879.120873,26118.119594,71994.939742
n206,7,0.0078,1.000000,111739.56,17131.375271,12901.928787,34029.219023,47677.041503
n207,7,0.0078,1.000000,133545.11,8201.886712,5501.194549,37692.088340,82149.944474
n208,7,0.0078,1.000000,136125.44,3776.942306,52855.912072,11266.665912,68225.917195
n209,7,0.0078,1.000000,122118.16,29221.486450,49706.845124,26197.885720,16991.939774
n210,7,0.0078,1.000000,122771.03,17328.458500,42099.741950,20840.064770,42502.767562
n211,7,0.0078,1.000000,118442.30,36434.530523,12822.245684,46804.442264,22381.078051
n212,7,0.0078,1.000000,126301.07,5948.278660,10222.129605,41174.003558,68956.656412
n213,7,0.0078,1.000000,130789.64,10768.089664,8808.746795,33196.246904,78016.558352
n214,7,0.0078,1.000000,125967.14,7197.599262,15686.285978,31491.101498,71592.148595
n215,7,0.0078,1.000000,127417.35,7584.849952,11095.283484,30396.969662,78340.243089
n216,7,0.0078,1.000000,114796.76,55589.019939,12761.071803,18404.652904,28042.019008
n217,7,0.0078,1.000000,120785.92,7663.128622,42358.864582,39565.869251,31198.061888
n218,7,0.0078,1.000000,123859.50,7124.238276,27602.826696,42990.775709,46141.655476
n219,7,0.0078,1.000000,130273.46,6617.262964,8905.984061,32549.957998,82200.257245
n220,7,0.0078,1.000000,124094.33,9074.442612,6667.823404,57462.330413,50889.737960
n221,7,0.0078,1.000000,123375.63,4835.495006,9794.789342,63232.125659,45513.223424
n222,7,0.0078,1.000000,133458.88,49577.518459,9469.231609,24190.649630,50221.477847
n223,7,0.0078,1.000000,151207.39,16602.455406,41334.126758,13257.277234,80013.533045
n224,7,0.0078,1.000000,151739.98,3236.778834,5007.630612,59919.946109,83575.624159
n225,7,0.0078,1.000000,147861.06,3582.217647,3797.058193,60066.129841,80415.654645
n226,7,0.0078,1.000000,147568.00,11341.701460,22219.734435,32982.073204,81024.492615
n227,7,0.0078,1.000000,134958.18,8880.223035,7539.168624,71806.899602,46731.888049
n228,7,0.0078,1.000000,135525.79,3167.867094,4438.186725,54288.479087,73631.255511
n229,7,0.0078,1.000000,140782.23,27825.153866,13807.347170,40842.016138,58307.714077
n230,7,0.0078,1.000000,144430.56,2554.992132,5026.478347,63248.637280,73600.454700
n231,7,0.0078,1.000000,135748.74,3677.493097,56790.679437,9796.556850,65484.015036
n232,7,0.0078,1.000000,130258.38,9086.466978,16128.228858,53286.189697,51757.494283
n233,7,0.0078,1.000000,127779.67,7282.671231,7935.441046,64127.469812,48434.091667
n234,7,0.0078,1.000000,120391.78,51353.604070,5868.365531,30419.721490,32750.089611
n235,7,0.0078,1.000000,139483.57,29979.887826,27052.674816,51258.307001,31192.700330
