Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n184,7,0.0078,1.700000,209030.51,153370.886717,1499.898541,50070.628113,4089.092969
n185,7,0.0078,1.700000,189196.27,146987.953525,11074.705875,9385.966973,21747.644203
n186,7,0.0078,1.700000,213206.44,17967.353034,165450.197642,27430.818033,2358.076250
n187,7,0.0078,1.700000,169285.79,129912.805200,5249.326205,30347.829906,3775.831147
n188,7,0.0078,1.700000,176798.16,7253.465783,139788.121345,24199.366582,5557.208884
n189,7,0.0078,1.700000,182610.73,145060.866707,31412.480277,3049.982843,3087.396742
n190,7,0.0078,1.700000,221872.63,14672.389122,176650.547482,10563.106222,19986.590286
n191,7,0.0078,1.700000,149839.42,22204.620131,114583.231802,6978.765315,6072.806649
n192,7,0.0078,1.700000,149209.20,108109.794472,39549.223632,768.245037,781.940100
n193,7,0.0078,1.700000,168854.34,130648.644910,36349.950872,741.587574,1114.154385
n194,7,0.0078,1.700000,177478.74,141465.398853,25816.767733,2710.034743,7486.537921
n195,7,0.0078,1.700000,166382.99,1572.466290,937.971210,123707.674670,40164.881844
n196,7,0.0078,1.700000,128591.60,10508.688770,15589.150253,99899.698264,2594.061872
n197,7,0.0078,1.700000,161651.41,124107.970971,35689.536867,930.081128,923.819680
n198,7,0.0078,1.700000,126728.95,87401.107357,36936.777847,1454.225791,936.840760
n199,7,0.0078,1.700000,172596.41,137336.557416,6554.700038,25462.351713,3242.798947
n200,7,0.0078,1.700000,148155.76,29722.049902,116255.513764,755.754786,1422.437856
n201,7,0.0078,1.700000,159570.56,124751.549426,1443.085510,9356.502099,24019.425781
n202,7,0.0078,1.700000,150598.81,24856.092547,118961.792546,4774.732425,2006.191334
n203,7,0.0078,1.700000,177689.99,141509.559442,32167.223598,1308.451857,2704.753320
n204,7,0.0078,1.700000,139069.06,106109.250864,901.660151,30565.415852,1492.729824
n205,7,0.0078,1.700000,157793.96,28028.750346,121713.926743,6508.525163,1542.755601
n206,7,0.0078,1.700000,145849.99,29607.121568,110833.419058,3261.851615,2147.598102
n207,7,0.0078,1.700000,202745.45,35934.090911,160733.377232,4447.671798,1630.313379
n208,7,0.0078,1.700000,233581.73,186417.355444,5247.823284,37985.916420,3930.636180
n209,7,0.0078,1.700000,188452.02,13196.299463,1698.424091,26084.650013,147472.651377
n210,7,0.0078,1.700000,179278.11,119527.860302,3616.717333,49742.584924,6390.949157
n211,7,0.0078,1.700000,210273.89,2699.239313,107877.919284,4287.771075,95408.957091
n212,7,0.0078,1.700000,235743.25,186993.024302,43662.892945,3651.472571,1435.863101
n213,7,0.0078,1.700000,306938.84,88735.979832,206977.949304,10541.897199,683.009630
n214,7,0.0078,1.700000,278564.03,220539.258217,43647.155877,11958.941990,2418.669961
n215,7,0.0078,1.700000,174036.34,134324.640584,36170.503399,2604.071211,937.128553
n216,7,0.0078,1.700000,138112.53,1374.974612,107669.514349,24722.107830,4345.929930
n217,7,0.0078,1.700000,134348.16,106964.360197,6968.327488,8572.357021,11843.110973
n218,7,0.0078,1.700000,138784.89,110524.865665,17202.506025,5437.165898,5620.357379
n219,7,0.0078,1.700000,187385.59,145837.536598,38382.926419,2295.233511,869.888711
n220,7,0.0078,1.700000,182837.71,40239.935640,139427.034252,1573.033208,1597.707736
n221,7,0.0078,1.700000,192429.92,152239.222053,36538.503624,1492.949393,2159.240016
